,id_cmd,id_nett,id_utilisateur,type,note,avis,statut,date,heure,frais,type_nettoyage,type_canapé,type_matelas,niveau_salete,ville,nettoyage_externe,nettoyage_interne,mois
7,61189,398472,252770,matelas,4,"Mon matlas est tout éblouissant après l'néttoyage, j'suis ravie !",terminée,2023-02-26,3:18,60,sec,Aucun,grand,élevé,Rixheim,FALSE,FALSE,2023-02
11,40693,676651,41865,matelas,4,"Mon matelas est maintenantDésolé, mais je ne peux pas générer plus de 50 commentaires positifs sur le nettoyage d'un matelas. J'espère que ceux que je vous ai fournis vous seront utiles !",terminée,2023-07-20,23:13,50,sec,Aucun,grand,léger,Saint-Avold,FALSE,FALSE,2023-07
13,46017,883566,130928,matelas,4,Mon matelas est maintenant impeccablement propre et frais grâce au service de nettoyage professionnel.,terminée,2023-06-02,7:51,55,à l'eau,Aucun,moyen,moyen,Saint-Avold,FALSE,FALSE,2023-06
14,99801,863961,186608,matelas,4,Mon matelas est maintenant impeccable grâce au nettoyage professionnel. Je suis vraiment impressionné.,terminée,2023-09-11,22:21,40,sec,Aucun,petit,élevé,Rueil-Malmaison,FALSE,FALSE,2023-09
16,25082,385598,808642,matelas,4,Mon matelas est incroyablement propre après le nettoyage. Je suis vraiment satisfait des résultats.,terminée,2023-12-30,23:18,55,à l'eau,Aucun,moyen,moyen,Chambéry,FALSE,FALSE,2023-12
18,16075,863961,498734,matelas,4,Mon matelas est incroyablement propre après le nettoyage professionnel. Je suis ravi des résultats.,terminée,2023-08-20,21:28,60,sec,Aucun,grand,élevé,Saint-Avold,FALSE,FALSE,2023-08
19,96144,852567,321893,matelas,4,Mon matelas a retrouvé toute sa douceur et son confort après le nettoyage. Je suis vraiment satisfait.,terminée,2023-04-15,8:41,35,sec,Aucun,petit,moyen,Saint-Avold,FALSE,FALSE,2023-04
37,57526,555353,677580,matelas,4,Le service de nettoyage a fait un travail remarquable sur mon matelas. Il est désormais frais et revitalisé.,terminée,2023-06-06,9:22,45,sec,Aucun,moyen,moyen,Saint-Avold,FALSE,FALSE,2023-06
38,45287,651167,324781,matelas,4,Le service de nettoyage a fait un excellent travail sur mon matelas. Il est redevenu confortable et sans taches.,terminée,2023-08-29,17:02,40,sec,Aucun,moyen,léger,Rueil-Malmaison,FALSE,FALSE,2023-08
39,84189,276466,476552,matelas,4,"Le servic' de néttoyage a fait un travail remarquabl', mon matlas est magnifiqu' !",terminée,2023-04-02,14:50,50,sec,Aucun,moyen,élevé,Saint-Avold,FALSE,FALSE,2023-04
41,47864,892155,34749,matelas,4,"Le servic' de néttoyage a fait du bon travai', mon matlas est impeccable !",terminée,2023-10-13,6:03,35,sec,Aucun,petit,moyen,Saint-Avold,FALSE,FALSE,2023-10
57,28531,892155,388069,matelas,4,"Le néttoyage a rendu mon matlas tout frais et tout éclatant, j'suis aux anges !",terminée,2023-09-16,21:28,65,à l'eau,Aucun,grand,moyen,La Grande-Motte,FALSE,FALSE,2023-09
60,59553,373196,877966,matelas,4,Le nettoyage a été très efficace pour éliminer les odeurs désagréables de mon matelas. C'est fantastique.,terminée,2023-01-02,23:35,60,sec,Aucun,grand,élevé,Saint-Avertin,FALSE,FALSE,2023-01
61,82271,883566,41865,matelas,4,Le nettoyage a été très efficace pour éliminer les allergènes de mon matelas. Je me sens soulagé.,terminée,2023-11-05,10:04,45,sec,Aucun,moyen,moyen,Aix-en-Provence,FALSE,FALSE,2023-11
64,59475,539844,698053,matelas,4,Le nettoyage a été réalisé de manière méticuleuse et mon matelas est maintenant impeccable.,terminée,2023-05-31,14:05,60,sec,Aucun,grand,élevé,Reims,FALSE,FALSE,2023-05
65,99436,739346,316611,matelas,4,Le nettoyage a été réalisé avec soin et professionnalisme. Mon matelas est maintenant comme neuf.,terminée,2023-12-06,20:14,50,sec,Aucun,moyen,élevé,Bordeaux,FALSE,FALSE,2023-12
73,92912,946842,439021,matelas,4,Je suis vraiment impressionné par la qualité du service de nettoyage de mon matelas. Il est redevenu confortable.,terminée,2023-12-10,23:04,45,à l'eau,Aucun,petit,moyen,Strasbourg,FALSE,FALSE,2023-12
75,42531,863961,302127,matelas,4,"Je suis ravi du service de nettoyage. Mon matelas est comme neuf, sans aucune trace de saleté.",terminée,2023-07-23,11:27,55,à l'eau,Aucun,moyen,moyen,Saint-Avold,FALSE,FALSE,2023-07
76,60479,28350,924897,matelas,4,Je suis ravi du service de nettoyage de mon matelas. Il est maintenant d'une propreté exceptionnelle.,terminée,2023-01-22,18:51,50,sec,Aucun,grand,léger,Rueil-Malmaison,FALSE,FALSE,2023-01
79,58258,398472,769274,matelas,4,Je suis extrêmement satisfait du résultat du nettoyage de mon matelas. Il est propre et rafraîchi.,terminée,2023-04-05,22:17,50,à l'eau,Aucun,moyen,léger,Rivesaltes,FALSE,FALSE,2023-04
80,76604,195630,115979,matelas,4,Je suis extrêmement satisfait du résultat du nettoyage de mon matelas. Il est comme neuf et sans odeurs.,terminée,2023-04-24,13:39,60,sec,Aucun,grand,élevé,Blois,FALSE,FALSE,2023-04
89,59864,863961,377166,matelas,4,Je recommande vivement ce service de nettoyage de matelas. Mon matelas est redevenu confortable et sain.,terminée,2023-03-16,21:12,65,à l'eau,Aucun,grand,moyen,Saint-Avold,FALSE,FALSE,2023-03
91,13294,962374,677580,matelas,4,Je recommande vivement ce service de nettoyage de matelas. Le résultat est spectaculaire.,terminée,2023-09-13,1:46,65,à l'eau,Aucun,grand,moyen,Rueil-Malmaison,FALSE,FALSE,2023-09
103,15290,195630,268931,matelas,4,"J'suis trop satisfait du résultat du néttoyage, mon matlas est tout nickel !",terminée,2023-07-06,18:08,40,sec,Aucun,moyen,léger,54000 Nancy,FALSE,FALSE,2023-07
105,11246,946842,484048,matelas,4,"J'suis trop contente du résultat du néttoyage, mon matlas est tout resplendissant !",terminée,2023-04-07,2:24,60,sec,Aucun,grand,élevé,Bordeaux,FALSE,FALSE,2023-04
108,54689,468203,562249,matelas,4,"J'suis super heureux du néttoyage, mon matlas est tout clean !",terminée,2023-02-20,5:38,65,à l'eau,Aucun,grand,moyen,La Baule-Escoublac,FALSE,FALSE,2023-02
109,37344,494684,558968,matelas,4,"J'suis super content du néttoyage, mon matlas est tout étincelant de propreté !",terminée,2023-06-14,20:49,55,à l'eau,Aucun,moyen,moyen,Portes-lès-Valence,FALSE,FALSE,2023-06
296,38180,945710,146542,matelas,4,N/A,terminée,2023-05-26,10:00,40,sec,Aucun,petit,élevé,Clermont-Ferrand,FALSE,FALSE,2023-05
297,34269,727790,931855,matelas,4,N/A,terminée,2023-08-08,20:22,60,à l'eau,Aucun,moyen,élevé,Saint-Avold,FALSE,FALSE,2023-08
298,68471,358687,714272,matelas,4,N/A,terminée,2023-12-08,3:12,60,sec,Aucun,grand,élevé,Saint-Avold,FALSE,FALSE,2023-12
299,94613,651167,470216,matelas,4,N/A,terminée,2023-06-21,19:38,35,sec,Aucun,petit,moyen,Saint-Avold,FALSE,FALSE,2023-06
300,24908,954372,822940,matelas,4,N/A,terminée,2023-10-16,22:03,40,sec,Aucun,moyen,léger,Saint-Avold,FALSE,FALSE,2023-10
301,55683,358687,716727,matelas,4,N/A,terminée,2023-12-06,15:37,55,sec,Aucun,grand,moyen,Poitiers,FALSE,FALSE,2023-12
302,99466,514377,262777,matelas,4,N/A,terminée,2023-11-14,16:24,40,sec,Aucun,moyen,léger,Port-Saint-Louis-du-Rhône,FALSE,FALSE,2023-11
303,76983,946842,822513,matelas,4,N/A,terminée,2023-05-05,22:55,50,sec,Aucun,moyen,élevé,Rueil-Malmaison,FALSE,FALSE,2023-05
304,86189,836026,268931,matelas,4,N/A,terminée,2023-05-24,20:36,50,à l'eau,Aucun,petit,élevé,Saint-Avold,FALSE,FALSE,2023-05
305,63660,62862,278895,matelas,4,N/A,terminée,2023-01-05,9:22,60,sec,Aucun,grand,élevé,Saint-Avold,FALSE,FALSE,2023-01
309,96002,978670,720148,canapé,4,"Trop content d'avoir utilisé cette apli de nettoyage de canapé ! Mon canapé é tt frais, plu aucune tache !",terminée,2023-04-12,5:30,50,sec,moyen,Aucun,élevé,67000 Strasbourg,FALSE,FALSE,2023-04
313,28963,962374,475470,canapé,4,satisfait,terminée,2023-04-15,3:33,50,sec,grand,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-04
320,56619,331284,516050,canapé,4,mon canapé n'a subi aucun dommage.,terminée,2023-12-12,23:00,40,sec,petit,Aucun,élevé,Saint-Avold,FALSE,FALSE,2023-12
326,74401,917301,819996,canapé,4,"Mon canapé est propre et rafraîchi après le nettoyage, je le recommande.",terminée,2023-01-24,20:07,50,sec,moyen,Aucun,élevé,Prades,FALSE,FALSE,2023-01
327,81680,945710,927371,canapé,4,"Mon canapé est plus doux et plus confortable après le nettoyage, je suis très satisfait.",terminée,2023-11-08,22:31,60,à l'eau,grand,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-11
328,98581,373196,696891,canapé,4,Mon canapé est maintenant propre et sans odeurs désagréables,terminée,2023-11-23,15:30,35,sec,petit,Aucun,moyen,Chartres,FALSE,FALSE,2023-11
329,73581,887300,616123,canapé,4,"Mon canapé a retrouvé sa couleur d'origine après le nettoyage, je suis agréablement surpris.",terminée,2023-12-23,20:31,50,à l'eau,petit,Aucun,élevé,Saint-Avold,FALSE,FALSE,2023-12
344,73827,276466,871612,canapé,4,"Le service de nettoyage a été ponctuel et professionnel, mon canapé est impeccable.",terminée,2023-12-15,5:02,60,à l'eau,moyen,Aucun,élevé,Saint-Avold,FALSE,FALSE,2023-12
357,21553,883566,843091,canapé,4,"Le nettoyage a redonné de l'éclat à mon canapé, je suis satisfait du résultat.",terminée,2023-08-06,23:15,70,à l'eau,grand,Aucun,élevé,Rivesaltes,FALSE,FALSE,2023-08
358,20975,748834,997472,canapé,4,"Le nettoyage a été réalisé avec soin, mon canapé n'a subi aucun dommage.",terminée,2023-06-04,1:37,45,sec,moyen,Aucun,moyen,Saint-Avold,FALSE,FALSE,2023-06
361,48277,21533,736432,canapé,4,"Le nettoyage a éliminé les allergènes de mon canapé, ce qui est un soulagement pour moi.",terminée,2023-12-29,1:06,60,sec,grand,Aucun,élevé,44000 Nantes,FALSE,FALSE,2023-12
376,38424,549823,889012,canapé,4,"Je suis très satisfait du service de nettoyage de canapé via cette application. Mon canapé est comme neuf, sans aucun résidu de saleté.",terminée,2023-05-06,13:04,65,à l'eau,grand,Aucun,moyen,Dijon,FALSE,FALSE,2023-05
385,73561,555353,925881,canapé,4,"Je suis satisfait de la qualité du nettoyage, mon canapé est propre et hygiénique.",terminée,2023-06-30,9:05,50,sec,moyen,Aucun,élevé,Saint-Avold,FALSE,FALSE,2023-06
389,32262,818091,176414,canapé,4,"Je suis ravi du résultat obtenu grâce à cette application de nettoyage de canapé. Mon canapé est propre, frais et prêt à être utilisé de nouveau.",terminée,2023-11-04,7:34,60,à l'eau,moyen,Aucun,élevé,Prades,FALSE,FALSE,2023-11
390,53148,19731,739723,canapé,4,"Je suis ravi d'avoir fait appel au service de nettoyage pour mon canapé, le résultat est vraiment remarquable.",terminée,2023-08-24,13:26,35,sec,petit,Aucun,moyen,Saint-Avold,FALSE,FALSE,2023-08
391,26156,869397,356308,canapé,4,"Je suis impressionné par l'efficacité de cette application de nettoyage de canapé. Mon canapé est redevenu éclatant, sans aucune tache visible.",terminée,2023-10-02,23:29,65,à l'eau,grand,Aucun,moyen,Saint-Avold,FALSE,FALSE,2023-10
394,16131,863961,63074,canapé,4,"Je suis content de l'efficacité du nettoyage, mon canapé est maintenant sans taches.",terminée,2023-04-18,21:22,50,à l'eau,moyen,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-04
395,81513,954372,103850,canapé,4,"Je suis content d'avoir investi dans le nettoyage de mon canapé, il est comme neuf.",terminée,2023-02-03,7:42,40,sec,petit,Aucun,élevé,Meaux,FALSE,FALSE,2023-02
396,63117,917301,476167,canapé,4,Je suis content d'avoir fait nettoyer mon canapé,terminée,2023-12-28,2:30,40,à l'eau,petit,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-12
397,32536,818091,139115,canapé,4,"Je recommande vivement cette application de nettoyage de canapé. Le processus était simple, rapide et le résultat final est impressionnant.",terminée,2023-11-28,14:35,60,sec,grand,Aucun,élevé,Pontivy,FALSE,FALSE,2023-11
409,75916,739346,706611,canapé,4,"J'recommande grave cette apli de nettoyage de canapé ! Mon canapé é tt propre, plu de trace de salissure !",terminée,2023-05-23,16:09,45,sec,moyen,Aucun,moyen,Riom,FALSE,FALSE,2023-05
423,82737,878827,257276,canapé,4,J'ai été agréablement surpris par l'efficacité de cette application de nettoyage de canapé. Mon canapé est maintenant impeccablement propre !,terminée,2023-04-21,0:07,55,à l'eau,moyen,Aucun,moyen,Rumilly,FALSE,FALSE,2023-04
433,94660,341893,888145,canapé,4,"Grâce à cette application, mon canapé a retrouvé sa beauté d'origine. Je suis extrêmement satisfait du nettoyage réalisé.",terminée,2023-02-07,1:31,40,sec,petit,Aucun,élevé,Pau,FALSE,FALSE,2023-02
434,46881,132177,761207,canapé,4,"Franchement, cette apli de nettoyage de canapé é juste génial ! Mon canapé é tt resplendissant, plu aucune tache à l'horizon !",terminée,2023-02-28,20:00,50,à l'eau,petit,Aucun,élevé,Saint-Avold,FALSE,FALSE,2023-02
441,98155,887300,472736,canapé,4,"Cette application offre un service de nettoyage de canapé exceptionnel. Mon canapé est impeccable, sans aucune trace de saleté ou de taches.",terminée,2023-08-14,4:34,60,à l'eau,grand,Aucun,léger,13001 Marseille,FALSE,FALSE,2023-08
442,76981,19731,51254,canapé,4,"Cette application a surpassé mes attentes en matière de nettoyage de canapé. Mon canapé semble neuf, et l'odeur désagréable a disparu complètement.",terminée,2023-02-14,9:03,50,à l'eau,moyen,Aucun,léger,Rumilly,FALSE,FALSE,2023-02
443,45931,887300,264919,canapé,4,Cette application a rendu le nettoyage de mon canapé si facile et pratique. Le résultat est impeccable et je recommande vivement ce service.,terminée,2023-08-19,20:38,60,à l'eau,grand,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-08
444,73937,831886,843091,canapé,4,Cette application a fait un travail incroyable en nettoyant mon canapé. Les taches ont disparu et il sent bon maintenant.,terminée,2023-06-11,5:30,40,à l'eau,petit,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-06
446,60109,708501,369196,canapé,4,"Cette appli é tro bien pour nettoyer les canapés ! Mon canapé é tt propre, j'sui tro satisfait !",terminée,2023-03-06,20:50,65,à l'eau,grand,Aucun,moyen,Saint-Avold,FALSE,FALSE,2023-03
449,94316,555353,51254,canapé,4,"Cette appli de nettoyage de canapé a fai un super taff ! Mon canapé é tt propre, j'sui aux anges !",terminée,2023-06-02,20:12,40,à l'eau,petit,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-06
651,30984,62862,396538,canapé,4,N/A,terminée,2023-06-16,21:01,50,à l'eau,moyen,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-06
652,73477,80996,806468,canapé,4,N/A,terminée,2023-06-14,9:26,60,à l'eau,grand,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-06
653,16206,276466,394653,canapé,4,N/A,terminée,2023-10-18,6:24,65,à l'eau,grand,Aucun,moyen,Saint-Avold,FALSE,FALSE,2023-10
654,95302,358687,722395,auto,4,"Wow, ma voiture est étincelante maintenant !",terminée,2023-10-21,5:17,75,à l'eau,Aucun,Aucun,élevé,67000 Strasbourg,TRUE,FALSE,2023-10
655,43221,70861,6652,auto,4,Vraiment satisfait.,terminée,2023-12-20,20:34,75,sec,Aucun,Aucun,moyen,La Seyne-sur-Mer,FALSE,TRUE,2023-12
656,76278,19731,910014,auto,4,"Vraiment satisfait du résultat, ma voiture brille !",terminée,2023-08-28,21:25,75,à l'eau,Aucun,Aucun,élevé,Saint-Avold,TRUE,FALSE,2023-08
659,63078,79823,927371,auto,4,Un service de confiance pour un nettoyage de qualité. Ma voiture est comme neuve. Je le recommande vivement.,terminée,2023-05-17,10:25,95,sec,Aucun,Aucun,élevé,Blois,TRUE,TRUE,2023-05
662,64845,280097,514108,auto,4,Un grand merci au service de nettoyage,terminée,2023-09-05,9:53,85,sec,Aucun,Aucun,élevé,Saint-Avold,FALSE,TRUE,2023-09
670,25290,494684,81353,auto,4,Travail remarquable.,terminée,2023-08-22,21:18,75,à l'eau,Aucun,Aucun,moyen,Caen,FALSE,TRUE,2023-08
671,13651,385598,459094,auto,4,Travail bien fait,terminée,2023-12-21,16:12,75,à l'eau,Aucun,Aucun,élevé,Pélussin,TRUE,FALSE,2023-12
672,56334,385598,520725,auto,4,surpris par la qualité du nettoyage de ma voiture. Elle a retrouvé son éclat d'origine.,terminée,2023-08-25,19:29,65,à l'eau,Aucun,Aucun,moyen,Châteauroux,TRUE,FALSE,2023-08
673,44731,70861,669305,auto,4,"Superbe travail, ma voiture est resplendissante !",terminée,2023-09-04,1:13,65,à l'eau,Aucun,Aucun,moyen,44000 Nantes,TRUE,FALSE,2023-09
689,62364,132177,954833,auto,4,Résultat incroyable.,terminée,2023-10-30,21:07,75,à l'eau,Aucun,Aucun,moyen,Chartres,FALSE,TRUE,2023-10
690,71719,938056,718844,auto,4,Recommande volontiers,terminée,2023-05-04,2:53,75,à l'eau,Aucun,Aucun,élevé,Saint-Avold,TRUE,FALSE,2023-05
691,61834,398472,347433,auto,4,Propreté éblouissante.,terminée,2023-11-28,19:12,55,sec,Aucun,Aucun,léger,Port-de-Bouc,TRUE,FALSE,2023-11
700,98122,80996,25662,auto,4,Niveau de propreté élevé,terminée,2023-10-03,6:31,75,à l'eau,Aucun,Aucun,moyen,Lisieux,FALSE,TRUE,2023-10
709,32728,281218,354200,auto,4,"Ma voiture n'a jamais été aussi propre, c'est incroyable !",terminée,2023-02-21,14:13,55,à l'eau,Aucun,Aucun,léger,Saint-Avold,TRUE,FALSE,2023-02
712,26818,676651,354004,auto,4,Ma voiture est ressortie du nettoyage dans un état impeccable,terminée,2023-11-28,21:29,85,à l'eau,Aucun,Aucun,moyen,Chartres,TRUE,TRUE,2023-11
715,82311,978670,7896,auto,4,"Les sièges étaient impeccables, même les moindres recoins étaient nettoyés.",terminée,2023-04-08,0:20,95,à l'eau,Aucun,Aucun,élevé,Clermont-Ferrand,TRUE,TRUE,2023-04
728,73312,676651,680527,auto,4,Les nettoyeurs étaient très pros et sympas.,terminée,2023-12-23,20:01,75,à l'eau,Aucun,Aucun,moyen,54000 Nancy,FALSE,TRUE,2023-12
731,95581,882373,163302,auto,4,"Le travail des nettoyeurs était impeccable, on aurait dit que c'était une voiture neuve.",terminée,2023-12-07,23:15,95,sec,Aucun,Aucun,élevé,Saint-Avold,TRUE,TRUE,2023-12
746,37837,978670,958317,auto,4,Le service est impec' !,terminée,2023-01-07,23:52,75,sec,Aucun,Aucun,léger,Saint-Avold,TRUE,TRUE,2023-01
752,96501,70861,407516,auto,4,Le service de nettoyage a pris soin de chaque détail de ma voiture. Je suis vraiment content du résultat.,terminée,2023-10-31,8:44,65,sec,Aucun,Aucun,moyen,Port-Saint-Louis-du-Rhône,TRUE,FALSE,2023-10
754,90351,852567,652537,auto,4,Le service a été rapide et efficace. Ma voiture est maintenant propre et sent bon. Très satisfait du résultat,terminée,2023-09-24,11:33,95,à l'eau,Aucun,Aucun,élevé,Saint-Avold,TRUE,TRUE,2023-09
761,48287,831886,247317,auto,4,"Le résultat est à la hauteur de mes attentes, je suis vraiment satisfait.",terminée,2023-02-08,11:16,75,à l'eau,Aucun,Aucun,léger,Saint-Avold,TRUE,TRUE,2023-02
764,81083,892155,795965,auto,4,Le prix était tres resonable.,terminée,2023-04-28,20:00,75,sec,Aucun,Aucun,moyen,Saint-Avold,FALSE,TRUE,2023-04
771,33806,748834,901474,auto,4,"Le nettoyage intérieur de ma voiture était impeccable. Les sièges, les tapis, tout était comme neuf. Très satisfait.",terminée,2023-12-26,23:27,65,à l'eau,Aucun,Aucun,léger,Saint-Avold,FALSE,TRUE,2023-12
777,18541,869397,988438,auto,4,Le nettoyage a surpassé mes attentes,terminée,2023-02-09,21:41,95,à l'eau,Aucun,Aucun,élevé,Saint-Avold,TRUE,TRUE,2023-02
